,proto,service,id.resp_p,missed_bytes,version,cipher,curve,resumed,established,sni_matches_cert,secure_label
0,udp,,55533,0,1,1,1,1,1,1,1
1,tcp,,34984,0,1,1,1,1,1,1,1
2,tcp,,443,0,1,1,1,1,1,1,1
3,tcp,,50912,0,1,1,1,1,1,1,1
4,tcp,,50960,0,1,1,1,1,1,1,1
5,tcp,,50872,0,1,1,1,1,1,1,1
6,udp,,50008,0,1,1,1,1,1,1,1
7,tcp,,42773,0,1,1,1,1,1,1,1
8,tcp,,9092,0,1,1,1,1,1,1,1
9,tcp,,9092,0,1,1,1,1,1,1,1
10,udp,,443,0,1,1,1,1,1,1,1
11,tcp,,443,0,1,1,1,1,1,1,1
12,tcp,,443,0,1,1,1,1,1,1,1
13,tcp,,443,0,1,1,1,1,1,1,1
14,tcp,,27017,0,1,1,1,1,1,1,1
15,tcp,,58768,0,1,1,1,1,1,1,1
16,tcp,,45903,0,1,1,1,1,1,1,1
17,tcp,,80,0,1,1,1,1,1,1,1
18,tcp,,80,0,1,1,1,1,1,1,1
19,tcp,,2181,0,1,1,1,1,1,1,1
20,tcp,,443,0,1,1,1,1,1,1,1
21,tcp,,443,0,1,1,1,1,1,1,1
22,tcp,,34984,0,1,1,1,1,1,1,1
23,tcp,,50912,0,1,1,1,1,1,1,1
24,tcp,,50960,0,1,1,1,1,1,1,1
25,tcp,,50872,0,1,1,1,1,1,1,1
26,tcp,,443,0,1,1,1,1,1,1,1
27,tcp,,42773,0,1,1,1,1,1,1,1
28,tcp,,36276,0,1,1,1,1,1,1,1
29,tcp,,443,0,1,1,1,1,1,1,1
30,tcp,,443,0,1,1,1,1,1,1,1
31,tcp,,9092,0,1,1,1,1,1,1,1
32,tcp,,55868,0,1,1,1,1,1,1,1
33,tcp,,9092,0,1,1,1,1,1,1,1
34,udp,dns,5353,0,1,1,1,1,1,1,1
35,udp,dns,5353,0,1,1,1,1,1,1,1
36,tcp,,443,0,1,1,1,1,1,1,1
37,tcp,,34984,0,1,1,1,1,1,1,1
38,tcp,,50912,0,1,1,1,1,1,1,1
39,tcp,,50960,0,1,1,1,1,1,1,1
40,tcp,,50872,0,1,1,1,1,1,1,1
41,tcp,,2181,0,1,1,1,1,1,1,1
42,tcp,,443,0,1,1,1,1,1,1,1
43,tcp,,42773,0,1,1,1,1,1,1,1
44,tcp,,58768,0,1,1,1,1,1,1,1
45,tcp,,45903,0,1,1,1,1,1,1,1
46,udp,dns,53,0,1,1,1,1,1,1,0
47,udp,dns,53,0,1,1,1,1,1,1,0
48,udp,dns,53,0,1,1,1,1,1,1,0
49,udp,quic,443,0,1,1,1,1,1,1,1
50,tcp,,9092,0,1,1,1,1,1,1,1
51,tcp,,27017,0,1,1,1,1,1,1,1
52,tcp,,9092,0,1,1,1,1,1,1,1
53,udp,dns,53,0,1,1,1,1,1,1,0
54,udp,dns,53,0,1,1,1,1,1,1,0
55,udp,dns,53,0,1,1,1,1,1,1,0
56,udp,quic,443,0,1,1,1,1,1,1,1
57,,,443,,1,1,1,1,1,1,1
58,tcp,,34984,0,1,1,1,1,1,1,1
59,tcp,,50912,0,1,1,1,1,1,1,1
60,tcp,,8081,0,1,1,1,1,1,1,1
61,tcp,,37076,0,1,1,1,1,1,1,1
62,tcp,,50960,0,1,1,1,1,1,1,1
63,tcp,,50872,0,1,1,1,1,1,1,1
64,tcp,,3306,0,1,1,1,1,1,1,1
65,udp,dns,53,0,1,1,1,1,1,1,0
66,udp,dns,53,0,1,1,1,1,1,1,0
67,tcp,,8081,0,1,1,1,1,1,1,1
68,tcp,,37080,0,1,1,1,1,1,1,1
69,udp,dns,53,0,1,1,1,1,1,1,0
70,tcp,ssl,443,60411,1,1,1,1,1,1,0
71,,,443,,0,1,1,1,1,1,0
72,tcp,,42773,0,1,1,1,1,1,1,1
73,tcp,,36276,0,1,1,1,1,1,1,1
74,tcp,,443,0,1,1,1,1,1,1,1
75,udp,,5678,0,1,1,1,1,1,1,1
76,udp,dns,53,0,1,1,1,1,1,1,0
77,tcp,,2181,0,1,1,1,1,1,1,1
78,tcp,,443,0,1,1,1,1,1,1,1
79,tcp,,443,0,1,1,1,1,1,1,1
80,udp,dns,53,0,1,1,1,1,1,1,0
81,udp,dns,53,0,1,1,1,1,1,1,0
82,udp,dns,53,0,1,1,1,1,1,1,0
83,udp,dns,53,0,1,1,1,1,1,1,0
84,udp,dns,53,0,1,1,1,1,1,1,0
85,udp,dns,53,0,1,1,1,1,1,1,0
86,udp,dns,53,0,1,1,1,1,1,1,0
87,udp,dns,53,0,1,1,1,1,1,1,0
88,udp,dns,53,0,1,1,1,1,1,1,0
89,udp,dns,53,0,1,1,1,1,1,1,0
90,udp,dns,53,0,1,1,1,1,1,1,0
91,udp,dns,53,0,1,1,1,1,1,1,0
92,udp,dns,53,0,1,1,1,1,1,1,0
93,udp,dns,53,0,1,1,1,1,1,1,0
94,udp,dns,53,0,1,1,1,1,1,1,0
95,udp,dns,53,0,1,1,1,1,1,1,0
96,udp,dns,53,0,1,1,1,1,1,1,0
97,udp,dns,53,0,1,1,1,1,1,1,0
98,udp,dns,53,0,1,1,1,1,1,1,0
99,udp,dns,53,0,1,1,1,1,1,1,0
100,udp,dns,53,0,1,1,1,1,1,1,0
101,udp,dns,53,0,1,1,1,1,1,1,0
102,udp,dns,53,0,1,1,1,1,1,1,0
103,udp,dns,53,0,1,1,1,1,1,1,0
104,udp,dns,53,0,1,1,1,1,1,1,0
105,udp,dns,53,0,1,1,1,1,1,1,0
106,udp,quic,443,0,1,1,1,1,1,1,1
107,tcp,ssl,443,2880,1,1,1,1,1,1,0
108,tcp,ssl,443,0,1,1,1,1,1,1,1
109,tcp,ssl,443,5350,1,1,1,1,1,1,0
110,tcp,ssl,443,2880,1,1,1,1,1,1,0
111,tcp,ssl,443,0,1,1,1,1,1,1,1
112,,,443,,1,1,1,1,1,1,1
113,,,443,,1,1,1,1,1,1,1
114,,,443,,1,1,1,1,1,1,1
115,,,443,,0,1,1,1,1,1,0
116,,,443,,0,1,1,1,1,1,0
117,udp,dns,53,0,1,1,1,1,1,1,0
118,udp,dns,53,0,1,1,1,1,1,1,0
119,udp,dns,53,0,1,1,1,1,1,1,0
120,tcp,ssl,443,0,1,1,1,1,1,1,1
121,,,443,,0,1,1,1,1,1,0
122,tcp,,443,0,1,1,1,1,1,1,1
123,tcp,,443,0,1,1,1,1,1,1,1
124,udp,dns,53,0,1,1,1,1,1,1,0
125,udp,dns,53,0,1,1,1,1,1,1,0
126,udp,dns,53,0,1,1,1,1,1,1,0
127,udp,dns,53,0,1,1,1,1,1,1,0
128,udp,dns,53,0,1,1,1,1,1,1,0
129,udp,dns,53,0,1,1,1,1,1,1,0
130,udp,dns,53,0,1,1,1,1,1,1,0
131,tcp,ssl,443,0,1,1,1,1,1,1,1
132,tcp,,9092,0,1,1,1,1,1,1,1
133,,,443,,0,1,1,1,1,1,0
134,udp,dns,53,0,1,1,1,1,1,1,0
135,udp,dns,53,0,1,1,1,1,1,1,0
136,udp,dns,53,0,1,1,1,1,1,1,0
137,tcp,ssl,443,25920,1,1,1,1,1,1,0
138,udp,dns,53,0,1,1,1,1,1,1,0
139,udp,dns,53,0,1,1,1,1,1,1,0
140,,,443,,0,1,1,1,1,1,0
141,udp,dns,53,0,1,1,1,1,1,1,0
142,udp,dns,53,0,1,1,1,1,1,1,0
143,udp,dns,53,0,1,1,1,1,1,1,0
144,udp,dns,53,0,1,1,1,1,1,1,0
145,udp,dns,53,0,1,1,1,1,1,1,0
146,udp,dns,53,0,1,1,1,1,1,1,0
147,udp,dns,53,0,1,1,1,1,1,1,0
148,udp,dns,53,0,1,1,1,1,1,1,0
149,udp,dns,53,0,1,1,1,1,1,1,0
150,udp,dns,53,0,1,1,1,1,1,1,0
151,udp,quic,443,0,1,1,1,1,1,1,1
152,tcp,ssl,443,0,1,1,1,1,1,1,1
153,udp,quic,443,0,1,1,1,1,1,1,1
154,,,443,,1,1,1,1,1,1,1
155,,,443,,0,1,0,1,1,1,0
156,udp,dns,53,0,1,1,1,1,1,1,0
157,udp,dns,53,0,1,1,1,1,1,1,0
158,udp,dns,53,0,1,1,1,1,1,1,0
159,udp,quic,443,0,1,1,1,1,1,1,1
160,,,443,,1,1,1,1,1,1,1
161,udp,dns,53,0,1,1,1,1,1,1,0
162,udp,dns,53,0,1,1,1,1,1,1,0
163,tcp,,9997,0,1,1,1,1,1,1,1
164,tcp,,9997,0,1,1,1,1,1,1,1
165,udp,dns,53,0,1,1,1,1,1,1,0
166,udp,dns,53,0,1,1,1,1,1,1,0
167,tcp,,3306,0,1,1,1,1,1,1,1
168,udp,dns,53,0,1,1,1,1,1,1,0
169,udp,dns,53,0,1,1,1,1,1,1,0
170,tcp,,443,0,1,1,1,1,1,1,1
171,tcp,,443,0,1,1,1,1,1,1,1
172,udp,quic,443,0,1,1,1,1,1,1,1
173,,,443,,1,1,1,1,1,1,1
174,tcp,,8081,0,1,1,1,1,1,1,1
175,tcp,,37094,0,1,1,1,1,1,1,1
176,udp,dns,53,0,1,1,1,1,1,1,0
177,udp,dns,53,0,1,1,1,1,1,1,0
178,tcp,,9092,0,1,1,1,1,1,1,1
179,udp,dns,53,0,1,1,1,1,1,1,0
180,udp,dns,53,0,1,1,1,1,1,1,0
181,udp,dns,53,0,1,1,1,1,1,1,0
182,udp,dns,53,0,1,1,1,1,1,1,0
183,udp,quic,443,0,1,1,1,1,1,1,1
184,tcp,,9092,0,1,1,1,1,1,1,1
185,tcp,,443,0,1,1,1,1,1,1,1
186,tcp,,443,0,1,1,1,1,1,1,1
