ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,referrer,user_agent,origin,request_body_len,response_body_len,status_code,status_msg,info_code,info_msg,tags,username,password,proxied,orig_fuids,orig_filenames,orig_mime_types,resp_fuids,resp_filenames,resp_mime_types,fingerprint,certificate.version,certificate.serial,certificate.subject,certificate.issuer,certificate.not_valid_before,certificate.not_valid_after,certificate.key_alg,certificate.sig_alg,certificate.key_type,certificate.key_length,certificate.exponent,certificate.curve,san.dns,san.uri,san.email,san.ip,basic_constraints.ca,basic_constraints.path_len,host_cert,client_cert
1742038219.854516,COgaXe3s7aBB72c7z9,192.168.1.1,51920,239.255.255.250,1900,udp,-,-,-,-,S0,T,F,0,D,1,393,0,0,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742038219.964457,CdlRPp4wOsX0Yg0Rcd,192.168.1.1,60047,239.255.255.250,1900,udp,-,-,-,-,S0,T,F,0,D,1,391,0,0,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742038220.074524,CaO3cMj94h5lHnL8f,192.168.1.1,40065,239.255.255.250,1900,udp,-,-,-,-,S0,T,F,0,D,1,407,0,0,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742038220.195067,Crrwau3YEXazpjSla1,192.168.1.1,43183,239.255.255.250,1900,udp,-,0.229304,958,0,S0,T,F,0,D,3,1042,0,0,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742038220.534505,CPG2yrTe6WfUEGt3c,192.168.1.1,42616,239.255.255.250,1900,udp,-,-,-,-,S0,T,F,0,D,1,393,0,0,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742038220.644550,CsfYEy3m3DmQScp9P4,192.168.1.1,47558,239.255.255.250,1900,udp,-,-,-,-,S0,T,F,0,D,1,391,0,0,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742038220.754592,CoytFPJKbmoJkIp68,192.168.1.1,55259,239.255.255.250,1900,udp,-,-,-,-,S0,T,F,0,D,1,407,0,0,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742038220.865220,Cjirj9yyuzqMDwgOd,192.168.1.1,41889,239.255.255.250,1900,udp,-,0.219189,958,0,S0,T,F,0,D,3,1042,0,0,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742038221.204496,CaxpGI1xJV7kBqCpyf,192.168.1.1,60721,239.255.255.250,1900,udp,-,-,-,-,S0,T,F,0,D,1,393,0,0,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742038221.314638,C8J5sR1IFIT5Rc9vH4,192.168.1.1,39366,239.255.255.250,1900,udp,-,-,-,-,S0,T,F,0,D,1,391,0,0,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742038221.424573,CMpDJs3Csfhs7kEmB6,192.168.1.1,55804,239.255.255.250,1900,udp,-,-,-,-,S0,T,F,0,D,1,407,0,0,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742038221.544967,COf73b139EO9qQ4f2d,192.168.1.1,43528,239.255.255.250,1900,udp,-,0.229237,958,0,S0,T,F,0,D,3,1042,0,0,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742038221.738214,CcyVxQ3zgDFtdm4T8a,192.168.1.6,47401,8.8.8.8,53,udp,dns,0.104689,0,138,SHR,T,F,0,Cd,0,0,1,166,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742038221.843853,Cj9MWh1NEgMOwbmnoa,192.168.1.6,57362,104.154.89.105,1010,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742038221.894474,CwRvjD2O5hJIOxcl9k,192.168.1.1,32960,239.255.255.250,1900,udp,-,-,-,-,S0,T,F,0,D,1,393,0,0,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742038222.004491,CbufL72l088aRAqL7c,192.168.1.1,54185,239.255.255.250,1900,udp,-,-,-,-,S0,T,F,0,D,1,391,0,0,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
